id,lon,lat,name,opening_hours,address,smoking,amenity
1188,21.416703,42.0001541,Broz Cafe,,,,cafe
1189,22.0110153,41.4372049,Total,,,,cafe
1190,22.0110601,41.437027,Roma,,,,cafe
1191,22.0131384,41.4352466,Blue Cafe,,,,cafe
1192,22.0104295,41.4398268,Picaso,,,,cafe
1193,21.4232268,41.9948867,Benneton,,,,cafe
1194,21.4230113,41.9948604,AMG,,,,cafe
1195,21.4253358,41.9955693,Strip,,Dimitrija Cupovski,,cafe
1196,21.4268858,41.9956368,Клуб Авенија,,,,nightclub
1197,21.2483529,41.3679722,Олд Скул,,,,cafe
1198,21.2168806,41.5069813,First,,,,cafe
1199,21.2163903,41.5067247,Кафе Бар Ш,,,,cafe
1200,21.2165604,41.5133537,Kardinal,,,,cafe
1201,21.4082395,42.0051454,Cafeteria,,,,cafe
1202,22.4105571,41.9173917,Класик,,,,cafe
1203,22.4107281,41.9176649,Delikates Cafe,,,,cafe
1204,21.4138028,41.9947703,нола Бар,Mo-Fr 09:00-24:00; Sa Su 00:00-01:00 09:00-24:00,Митрополит Теодосиј Гологанов,separated,bar
1205,21.4310013,41.9952414,Caffe Skopje,Mo-Su 08:00-23:00,Македонија,,cafe
1206,21.429836,41.992653,Play Cafe,Mo-Su 09:00-21:00,Македонија,,cafe
1207,21.4162239,41.9934306,9,,,,cafe
1208,21.4373453,41.9984414,Bistro Opera Pub,24-Jul,,,cafe
1209,21.3999451,42.0031059,Мартини,,,,cafe
1210,21.4159604,42.0047028,Бугати,,,,cafe
1211,22.6389491,41.4389263,City Cafe,,,,cafe
1212,22.6390517,41.4390994,Inside Cafe,,,,cafe
1213,22.6390002,41.4390286,Inside Cafe,,,,cafe
1214,22.6389577,41.4389263,Gala Live,,,,bar
1215,22.637799,41.4397692,Extreme Cafe,,,,cafe
1216,22.6377556,41.4397043,PR Cafe,,,,cafe
1217,22.6378848,41.4395247,Cafe 19,,,,cafe
1218,22.3362079,42.2056104,Galerija,Mo-Su 09:00-01:00,Свети Јоаким Осоговски,,cafe
1219,22.3365517,42.2058845,Fashion cafe,Mo-Su 08:00-01:00,Свети Јоаким Осоговски,,cafe
1220,22.0143629,41.4332378,Kaj Roka,,,,bar
1221,21.5539309,41.3452345,Вирус,,,,cafe
1222,21.5541527,41.3456817,Тејк Фајв,,,,cafe
1223,21.5536992,41.3453183,Ди Каприо,,,,cafe
1224,22.8523511,41.710316,Калипсо,,,,bar
1225,22.0116649,41.4348833,Energi's,,,,bar
1226,22.0167719,41.4343878,Light Cofee,,,,cafe
1227,20.6763146,41.1776197,Leone,,,,cafe
1228,21.4369808,42.0001669,Клуб Капан Ан,,,,bar
1229,22.1926393,41.7427284,Angel's Caffe,,,,cafe
1230,21.6533113,42.3044569,XL Pub,,,,cafe
1231,21.6524469,42.3055386,Victoria,,,,cafe
1232,21.6498183,42.3080221,Santos,,,,cafe
1233,22.8383014,41.7381241,miss Stoun,,,,cafe
1234,21.417262,42.0009888,Кафе Змија,,,,cafe
1235,21.4175044,42.0007963,Кафе Филипос,,Благој Давков,,cafe
1236,20.742471,42.2102821,Kafiq,,,,cafe
1237,21.4358564,41.9993401,Hürrem,,,,bar
1238,20.6507117,42.061718,MACHO club caffe,,,,cafe
1239,21.398346,42.0034224,Fluid,,,,cafe
1240,20.9568436,41.5108813,Republika,,,,cafe
1241,22.8732754,41.0002549,Λόφος,,,,cafe
1242,21.4091295,41.997291,Ли,,,,cafe
1243,21.718448,42.13429,Зафир,,,,cafe
1244,21.7197998,42.1345864,Revolution,,,,bar
1245,21.7189898,42.134282,Irish Pub,,,,cafe
1246,21.7187383,42.1361779,Нама Кафе,,,,cafe
1247,21.7189408,42.1341627,Франш,,,,cafe
1248,21.9748986,41.5502944,Стоби,,,,cafe
1249,21.4484,42.0582551,Royal,,,,cafe
1250,21.4502266,42.060135,Шема,,,,cafe
1251,21.4504664,41.9915282,Red Caffe,,,,cafe
1252,21.446918,41.991008,Club Colloseum,,,,bar
1253,21.6542204,42.3045189,City bar,,,,bar
1254,21.4295352,41.9975241,LA MER - Coffe & Wine bar,Su-Th 08:00-24:00; Fr-Sa 09:00-01:00; ,Орце Николов,,bar
1255,21.4644629,42.0026068,Аристократ кафе,,,,cafe
1256,21.7190616,42.136391,Клуб,,,,bar
1257,21.7174092,42.1366097,Касапски круг,,,,bar
1258,21.403605,42.0092296,Outlet Concept Store,,,,cafe
1259,21.4768613,41.9897212,Кафе Писта,,,,cafe
1260,21.4758817,41.9894222,Кафе Мамбо,,,,cafe
1261,20.6970091,42.0536914,"Café-Bar ""SEBAJET""",,,,bar
1262,20.697221,42.0538348,"Café-Bar ""CALE""",,,,bar
1263,21.7187933,42.1343519,Корзо,,,,cafe
1264,21.4324491,41.9950653,Up Cafe,Mo-Sa 08:00-18:00,,,cafe
1265,20.6186686,42.1636774,Kafe Xili,,,,bar
1266,20.6183358,42.1638365,Embeltore Cuca e Maleve,,,,bar
1267,22.8756909,40.9920548,Friends cafe bar,,,,cafe
1268,20.6790916,41.1783994,EMPIRE,,,,cafe
