id,lon,lat,name,cuisine,opening_hours,address,smoking,amenity
1,21.4355937,41.9950681,Ирски паб Св. Патрик,,10:00-24:00  Fr-Sa 10:00-01:00,Кеј 13 Ноември,separated,pub
2,21.4315704,41.9953933,Пелистер,italian,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00,Плоштад Македонија,,restaurant
3,21.3918782,41.9985413,Лап Лап,,,,,fast_food
4,22.0215553,41.4347276,Brioni,,,,,restaurant
5,22.0115107,41.4412063,Ramazzoti,,,,,restaurant
6,22.0096102,41.4410295,Exclusive,,,,,restaurant
7,22.7220346,41.1844141,Фук Так,fish;grill,,,,restaurant
8,21.4140669,41.9947432,Интермецо,,,,,restaurant
9,21.2485747,41.368101,Скар,italian_pizza;regional;balkan,,,,restaurant
10,21.2486257,41.3681312,Бенетон,,,,,restaurant
11,21.2151321,41.5065603,Cardak,chicken;diner;regional;pancake;sausage;coffee_shop;ice_cream;balkan;mediterranean;burger;fish;breakfast;grill,Mo-Su 08:00-02:00,,,restaurant
12,21.2177087,41.5075223,Lisec,,,,,restaurant
13,21.2442677,41.541066,Пешна,fish,,,,restaurant
14,22.0111128,41.4412564,Kico,,,,,restaurant
15,22.0135418,41.4407867,Riben restorant,,,,,restaurant
16,22.0116142,41.4331716,Aleksandrija,regional,,,,restaurant
17,21.2160292,41.5081589,Kaj Mame,,,,,restaurant
18,22.0121336,41.4411582,Spandja,,,,,restaurant
19,21.4438183,41.9768256,Журнал,,,,,restaurant
20,22.4125757,41.9153534,Пролет,,,,,restaurant
21,22.4062744,41.9596507,Градче,regional,,,,restaurant
22,22.410796,41.9170217,Сендвичара Азман,sandwich;burger,,,,fast_food
23,22.6230389,41.8339517,Ribnik Blatec,,,,,restaurant
24,21.4871217,42.0072516,Hunter’s Lodge “Kamnik”,steak_house,,,,restaurant
25,21.4307036,42.0047876,Под Кале,,,,,restaurant
26,21.4342799,41.9943261,Кај Џино,italian,Mo 08:00-24:00  Tu We Fr Sa 09:00-24:00  Th 09:00-23:00  Su 09:00-01:00,,outside,restaurant
27,21.4350117,41.9952456,Плаза де Торос,latin_american,,Кеј 13 Ноември,,restaurant
28,22.6502444,41.4392415,Luna 2,,,,,restaurant
29,22.6379105,41.4395826,23,,,,,fast_food
30,22.6490943,41.4385145,Bakers,,,,,fast_food
31,21.4268596,42.0003611,Жито Леб,,,,,fast_food
32,22.0953457,41.4895975,Rubiko,regional,,,,restaurant
33,21.9522494,41.5237914,Kaj Zika,regional,,,,restaurant
34,22.0136796,41.4337258,Makedonska Kuka,regional,,,,restaurant
35,22.0137691,41.4339698,Fast Food,burger,,,,fast_food
36,22.0117213,41.4336468,Toskano,,,,,pub
37,21.3995191,42.0031464,Енрико,italian,,,,restaurant
38,22.8645,41.69802,Мило,,,,,restaurant
